Team,Goalie,SV,GA,Minutes,Game_ID,Total_Minutes,TimeDelta,Home_Team,Away_Team
Minnesota,EMPTY NET,0,0,0:11,2022-01-07-Minnesota-Michigan State,0.18333333333333332,0 days 00:00:11,Michigan State,Minnesota
Minnesota,Jack LaFontaine,24,1,59:49,2022-01-07-Minnesota-Michigan State,59.81666666666667,0 days 00:59:49,Michigan State,Minnesota
Michigan State,Drew DeRidder,32,4,60:00,2022-01-07-Minnesota-Michigan State,60.0,0 days 01:00:00,Michigan State,Minnesota
Notre Dame,Ryan Bischel,38,2,60:00,2022-01-07-Notre Dame-Penn State,60.0,0 days 01:00:00,Penn State,Notre Dame
Penn State,EMPTY NET,0,1,0:56,2022-01-07-Notre Dame-Penn State,0.9333333333333333,0 days 00:00:56,Penn State,Notre Dame
Penn State,Oskar Autio,30,3,59:04,2022-01-07-Notre Dame-Penn State,59.06666666666667,0 days 00:59:04,Penn State,Notre Dame
Colgate,EMPTY NET,0,0,1:47,2022-01-07-Colgate-Northern Michigan,1.7833333333333332,0 days 00:01:47,Northern Michigan,Colgate
Colgate,Carter Gylander,34,4,58:13,2022-01-07-Colgate-Northern Michigan,58.21666666666667,0 days 00:58:13,Northern Michigan,Colgate
Northern Michigan,EMPTY NET,0,0,0:37,2022-01-07-Colgate-Northern Michigan,0.6166666666666667,0 days 00:00:37,Northern Michigan,Colgate
Northern Michigan,Rico DiMatteo,26,2,59:23,2022-01-07-Colgate-Northern Michigan,59.38333333333333,0 days 00:59:23,Northern Michigan,Colgate
Arizona State,EMPTY NET,0,1,0:14,2022-01-07-Arizona State-Boston University,0.23333333333333334,0 days 00:00:14,Boston University,Arizona State
Arizona State,Cole Brady,31,6,59:46,2022-01-07-Arizona State-Boston University,59.766666666666666,0 days 00:59:46,Boston University,Arizona State
Boston University,Drew Commesso,26,1,60:00,2022-01-07-Arizona State-Boston University,60.0,0 days 01:00:00,Boston University,Arizona State
Long Island,EMPTY NET,0,0,1:42,2022-01-07-Long Island-Northeastern,1.7,0 days 00:01:42,Northeastern,Long Island
Long Island,Vinnie Purpura,25,1,58:18,2022-01-07-Long Island-Northeastern,58.3,0 days 00:58:18,Northeastern,Long Island
Northeastern,Devon Levi,18,0,60:00,2022-01-07-Long Island-Northeastern,60.0,0 days 01:00:00,Northeastern,Long Island
Cornell,Ian Shane,23,3,60:00,2022-01-07-Cornell-North Dakota,60.0,0 days 01:00:00,North Dakota,Cornell
North Dakota,EMPTY NET,0,0,1:16,2022-01-07-Cornell-North Dakota,1.2666666666666666,0 days 00:01:16,North Dakota,Cornell
North Dakota,Zach Driscoll,13,4,58:44,2022-01-07-Cornell-North Dakota,58.733333333333334,0 days 00:58:44,North Dakota,Cornell
Canisius,Jake Barczewski,42,3,60:00,2022-01-07-Canisius-Army,60.0,0 days 01:00:00,Army,Canisius
Army,EMPTY NET,0,1,1:24,2022-01-07-Canisius-Army,1.4,0 days 00:01:24,Army,Canisius
Army,Gavin Abric,29,4,58:36,2022-01-07-Canisius-Army,58.6,0 days 00:58:36,Army,Canisius
Colorado College,Dominic Basse,36,1,60:00,2022-01-07-Colorado College-Miami,60.0,0 days 01:00:00,Miami,Colorado College
Miami,EMPTY NET,0,0,2:12,2022-01-07-Colorado College-Miami,2.2,0 days 00:02:12,Miami,Colorado College
Miami,Ludvig Persson,8,1,26:25,2022-01-07-Colorado College-Miami,26.416666666666668,0 days 00:26:25,Miami,Colorado College
Miami,Logan Neaton,17,4,31:23,2022-01-07-Colorado College-Miami,31.383333333333333,0 days 00:31:23,Miami,Colorado College
Bowling Green,Christian Stoever,19,2,60:00,2022-01-07-Bowling Green-St. Thomas,60.0,0 days 01:00:00,St. Thomas,Bowling Green
St. Thomas,EMPTY NET,0,1,0:56,2022-01-07-Bowling Green-St. Thomas,0.9333333333333333,0 days 00:00:56,St. Thomas,Bowling Green
St. Thomas,Peter Thome,29,3,59:04,2022-01-07-Bowling Green-St. Thomas,59.06666666666667,0 days 00:59:04,St. Thomas,Bowling Green
Canisius,EMPTY NET,0,1,3:54,2022-01-08-Canisius-Army,3.9,0 days 00:03:54,Army,Canisius
Canisius,Jake Barczewski,34,2,56:06,2022-01-08-Canisius-Army,56.1,0 days 00:56:06,Army,Canisius
Army,Gavin Abric,29,0,60:00,2022-01-08-Canisius-Army,60.0,0 days 01:00:00,Army,Canisius
Sacred Heart,Luke Lush,33,1,60:00,2022-01-08-Sacred Heart-Niagara,60.0,0 days 01:00:00,Niagara,Sacred Heart
Niagara,EMPTY NET,0,0,1:24,2022-01-08-Sacred Heart-Niagara,1.4,0 days 00:01:24,Niagara,Sacred Heart
Niagara,Jake Sibell,31,2,58:36,2022-01-08-Sacred Heart-Niagara,58.6,0 days 00:58:36,Niagara,Sacred Heart
American Int'l,Jake Kucharski,21,0,59:56,2022-01-08-American Int'l-Holy Cross,59.93333333333333,0 days 00:59:56,Holy Cross,American Int'l
Holy Cross,EMPTY NET,0,0,2:55,2022-01-08-American Int'l-Holy Cross,2.9166666666666665,0 days 00:02:55,Holy Cross,American Int'l
Holy Cross,Erik Gordon,25,2,57:05,2022-01-08-American Int'l-Holy Cross,57.083333333333336,0 days 00:57:05,Holy Cross,American Int'l
Massachusetts,EMPTY NET,0,1,0:33,2022-01-08-Massachusetts-Michigan,0.55,0 days 00:00:33,Michigan,Massachusetts
