Color,Hex_Code,Team,color_level
Silver,NA,Idaho Vandals,4
Black,#000000;,Idaho Vandals,5
ISU Orange,NA,Idaho State Bengals,1
Black,#000000;,Idaho State Bengals,2
Light Orange,#F9A81A;,Idaho State Bengals,3
Navy Blue,#13294b;,Illinois Fighting Illini,1
Orange,#E84A27;,Illinois Fighting Illini,2
RED ,#ce1126;,Illinois State Redbirds,1
YELLOW ,#F9DD16;,Illinois State Redbirds,2
WHITE,#FFFFFF;,Illinois State Redbirds,3
BLACK,#000000;,Illinois State Redbirds,4
Red,#cb333b;,Incarnate Word Cardinals,1
Black,#000000;,Incarnate Word Cardinals,2
Crimson,#990000;,Indiana Hoosiers,1
Cream,#EEEDEB;,Indiana Hoosiers,2
ROYAL BLUE ,#0142BC;,Indiana State Sycamores,1
WHITE,#FFFFFF;,Indiana State Sycamores,2
MAROON ,#6F2C3F;,Iona Gaels,1
GOLD ,#F2A900;,Iona Gaels,2
Hawkeyes Gold,#FFCD00;,Iowa Hawkeyes,1
Black,#000000;,Iowa Hawkeyes,2
Cardinal,#C8102E;,Iowa State Cyclones,1
Gold,#F1BE48;,Iowa State Cyclones,2
IU CRIMSON ,#9D2235;,IUPUI Jaguars,1
IU CREAM ,#DFD1A7;,IUPUI Jaguars,2
BLACK,#000000;,IUPUI Jaguars,3
Navy Blue,#002147;,Jackson State Tigers,1
Light Blue,#008ED6;,Jackson State Tigers,2
White,#ffffff;,Jackson State Tigers,3
GREEN,#004E44;,Jacksonville Dolphins,1
GRAY,#898a8d;,Jacksonville Dolphins,2
SILVER,#BBBBBB;,Jacksonville Dolphins,3
BLACK,#000000;,Jacksonville Dolphins,4
Red,#CC0000;,J. State Gamecocks,1
White,#ffffff;,J. State Gamecocks,2
Black,#000000;,J. State Gamecocks,3
Purple,#450084;,James Madison Dukes,1
Gold,#CBB677;,James Madison Dukes,2
KU Blue,#0051BA;,Kansas Jayhawks,1
Crimson ,#E8000D;,Kansas Jayhawks,2
Jayhawk Yellow ,#ffc82d;,Kansas Jayhawks,3
Signature Grey,#85898a;,Kansas Jayhawks,4
Purple ,#512888;,Kansas State Wildcats,1
Light Gray,#d1d1d1;,Kansas State Wildcats,2
Gray,#a7a7a7;,Kansas State Wildcats,3
White ,#FFFFFF;,Kansas State Wildcats,4
Black ,#000000;,Kansas State Wildcats,5
KSU Gold ,#FDBB30;,Kennesaw State Owls,1
BLACK ,#0B1315;,Kennesaw State Owls,2
GREY ,#C5C6C8;,Kennesaw State Owls,3
NAVY BLUE,#002664;,Kent State Golden Flashes,1
GOLD,#EAAB00;,Kent State Golden Flashes,2
