Date,Conference,Game_Notes,Away_Team,Away_Team_Link,Away_Score,Home_Team,Home_Team_Link,Home_Score,OT,Box_Link,Metrics_Link,Day,Game_ID
2023-10-14,Non-Conference,,Canisius,/reports/team/Canisius/13,1,Miami,/reports/team/Miami/30,4,,/box/final/20231014/cns/mia/,/box/metrics.php?gd=96707,Saturday,2023-10-14_Miami_Canisius
2023-10-14,Non-Conference,,Notre Dame,/reports/team/Notre-Dame/43,0,RIT,/reports/team/RIT/49,3,,/box/final/20231014/ndm/rit/,/box/metrics.php?gd=97210,Saturday,2023-10-14_RIT_Notre Dame
2023-10-14,Non-Conference,,St. Cloud State,/reports/team/St-Cloud-State/52,1,Minnesota State,/reports/team/Minnesota-State/35,5,,/box/final/20231014/stc/mns/,/box/metrics.php?gd=96709,Saturday,2023-10-14_Minnesota State_St. Cloud State
2023-10-14,Non-Conference,Ice Breaker Tournament,Wisconsin,/reports/team/Wisconsin/58,0,North Dakota,/reports/team/North-Dakota/40,2,,/box/final/20231014/wis/ndk/,/box/metrics.php?gd=96705,Saturday,2023-10-14_North Dakota_Wisconsin
2023-10-14,Non-Conference,,Merrimack,/reports/team/Merrimack/29,2,Arizona State,/reports/team/Arizona-State/61,4,,/box/final/20231014/mer/asu/,/box/metrics.php?gd=96461,Saturday,2023-10-14_Arizona State_Merrimack
2023-10-14,Non-Conference,,Union,/reports/team/Union/54,2,Colorado College,/reports/team/Colorado-College/16,6,,/box/final/20231014/uni/cc_/,/box/metrics.php?gd=96711,Saturday,2023-10-14_Colorado College_Union
2023-10-14,Non-Conference,,Niagara,/reports/team/Niagara/39,1,Omaha,/reports/team/Omaha/37,2,,/box/final/20231014/nia/uno/,/box/metrics.php?gd=96710,Saturday,2023-10-14_Omaha_Niagara
2023-10-14,Non-Conference,,Northern Michigan,/reports/team/Northern-Michigan/42,5,Minnesota-Duluth,/reports/team/Minnesota-Duluth/36,8,,/box/final/20231014/nmu/mnd/,/box/metrics.php?gd=96708,Saturday,2023-10-14_Minnesota-Duluth_Northern Michigan
2023-10-14,Exhibition,,Toronto,,2,Princeton,/reports/team/Princeton/45,4,,/box/final/20231014/tor/prn/,,Saturday,2023-10-14_Princeton_Toronto
2023-10-14,Exhibition,,US Under-18,,8,Boston University,/reports/team/Boston-University/10,2,,/box/final/20231014/u18/bu_/,,Saturday,2023-10-14_Boston University_US Under-18
2023-10-14,Exhibition,,TMU,,1,Cornell,/reports/team/Cornell/18,6,,/box/final/20231014/ryr/cor/,,Saturday,2023-10-14_Cornell_TMU
2023-10-15,Non-Conference,,Bowling Green,/reports/team/Bowling-Green/11,1,Augustana,/reports/team/Augustana/64,4,,/box/final/20231015/bgs/aug/,/box/metrics.php?gd=97066,Sunday,2023-10-15_Augustana_Bowling Green
2023-10-19,Non-Conference,,Canisius,/reports/team/Canisius/13,3,Michigan State,/reports/team/Michigan-State/32,6,,/box/final/20231019/cns/msu/,/box/metrics.php?gd=97211,Thursday,2023-10-19_Michigan State_Canisius
2023-10-20,Big Ten,,Ohio State,/reports/team/Ohio-State/44,1,Michigan,/reports/team/Michigan/31,7,,/box/final/20231020/osu/mic/,/box/metrics.php?gd=97458,Friday,2023-10-20_Michigan_Ohio State
2023-10-20,Atlantic Hockey,,Holy Cross,/reports/team/Holy-Cross/23,3,Robert Morris,/reports/team/Robert-Morris/50,1,,/box/final/20231020/hcr/rmu/,/box/metrics.php?gd=97213,Friday,2023-10-20_Robert Morris_Holy Cross
