Season_Year,Team,Conference
1924,Williams,None
1924,Wisconsin,None
1924,Yale,None
1925,Amherst,None
1925,Army,None
1925,Bates,None
1925,Boston A.A.,None
1925,Boston College,None
1925,Boston University,None
1925,Bowdoin,None
1925,Carleton (Ont.),None
1925,Clarkson,None
1925,Cle. Collegians,None
1925,Cornell,None
1925,Dartmouth,None
1925,Hamilton,None
1925,Harvard,None
1925,MIT,None
1925,Marquette,None
1925,Mass. Agricultural,None
1925,McGill,None
1925,Michigan,None
1925,Michigan State,None
1925,Middlebury,None
1925,Minnesota,None
1925,Montreal,None
1925,N. Dakota Aggies,None
1925,New York A.C.,None
1925,Nichols Club,None
1925,Notre Dame,None
1925,Ottawa Burgs,None
1925,Pere Marquette,None
1925,Princeton,None
1925,Royal Military,None
1925,Sherbrooke,None
1925,St. Nick's,None
1925,Syracuse,None
1925,Tech Beavers,None
1925,Toronto,None
1925,Truro,None
1925,Williams,None
1925,Wisconsin,None
1925,Yale,None
1926,63,None
1926,Amherst,None
1926,Army,None
1926,Boston College,None
1926,Boston University,None
1926,Bowdoin,None
1926,Brown,None
1926,Clarkson,None
1926,Cornell,None
1926,Dartmouth,None
1926,Eveleth JC,None
1926,Hamilton,None
1926,Harvard,None
1926,Laval,None
1926,MIT,None
1926,Manitoba,None
1926,McGill,None
1926,Mich. Coll. of Mines,None
1926,Michigan,None
1926,Michigan State,None
1926,Minnesota,None
1926,New Hampshire,None
1926,Notre Dame,None
1926,Princeton,None
1926,Providence,None
1926,Royal Military,None
1926,Springfield O.C.,None
1926,St. Lawrence,None
1926,St. Nick's,None
1926,Syracuse,None
1926,Toronto,None
1926,UC Boston,None
1926,University Club,None
1926,Williams,None
1926,Windsor Tech,None
1926,Wisconsin,None
1926,Yale,None
1927,17,None
1927,23,None
1927,Amherst,None
1927,Army,None
1927,Bates,None
1927,Boston College,None
1927,Boston University,None
1927,Bowdoin,None
1927,Brown,None
1927,Clarkson,None
1927,Colgate,None
1927,Cornell,None
1927,Dartmouth,None
1927,Harvard,None
1927,MIT,None
1927,Marquette,None
1927,Marquette H.C.,None
1927,Mass. Agricultural,None
1927,McGill,None
1927,Michigan,None
1927,Michigan State,None
1927,Michigan Tech,None
1927,Middlebury,None
1927,Minnesota,None
1927,N. Dakota Aggies,None
1927,New Hampshire,None
1927,Norwich,None
1927,Princeton,None
1927,Royal Military,None
1927,Springfield,None
1927,St. Francis Xav.,None
1927,St. Nick's,None
1927,Toronto,None
1927,UC Boston,None
1927,Union,None
1927,Western Ontario,None
1927,Williams,None
1927,Wisconsin,None
1927,Yale,None
1928,17,None
1928,23,None
1928,Amherst,None
1928,Army,None
1928,Bates,None
1928,Beck College,None
1928,Boston A.A.,None
1928,Boston College,None
1928,Boston University,None
1928,Bowdoin,None
1928,Brown,None
1928,Chicago AA,None
1928,Clarkson,None
1928,Colgate,None
1928,Cornell,None
1928,Dartmouth,None
1928,Harvard,None
1928,MIT,None
1928,Marquette,None
1928,Marquette H.C.,None
1928,Mass. Agricultural,None
1928,McGill,None
1928,Michigan,None
1928,Michigan State,None
1928,Michigan Tech,None
1928,Middlebury,None
1928,Minnesota,None
1928,N. Dakota Aggies,None
1928,New Hampshire,None
1928,Norwich,None
1928,Ontario Ag.,None
1928,Pennsylvania,None
1928,Princeton,None
1928,RPI,None
1928,Royal Military,None
1928,Sherbrooke,None
1928,St. Lawrence,None
1928,St. Nick's,None
1928,St. Stephen's,None
1928,Toronto,None
1928,UC Boston,None
1928,Western Ontario,None
1928,Williams,None
1928,Wisconsin,None
1928,Yale,None
1929,55,None
1929,Army,None
1929,Bates,None
1929,Boston H.C.,None
1929,Boston HC,None
1929,Boston University,None
1929,Bowdoin,None
1929,Brown,None
1929,Clarkson,None
1929,Colgate,None
1929,Conn. Agr. Colle,None
1929,Cornell,None
1929,Dallas A.C.,None
1929,Dartmouth,None
1929,Hamilton,None
1929,Harvard,None
1929,MIT,None
1929,Marquette,None
1929,Mass. Agricultural,None
1929,Michigan,None
